"api_number","operator_name","well_name","latitude","longitude","status","parent","cik","serialid"
"50023200210000","NORTH SLOPE BOROUGH","S BARROW NSB-02","71.2492318352798","-156.625894832091","I","",,"99"
"50023200220000","NORTH SLOPE BOROUGH","S BARROW NSB-03","71.1708537108404","-156.539130059212","I","",,"100"
"50023200230000","NORTH SLOPE BOROUGH","S BARROW NSB-04","71.2018541065025","-156.475161264369","I","",,"101"
"50023200250000","NORTH SLOPE BOROUGH","S BARROW NSB-05","71.2060635402872","-156.513329010516","I","",,"102"
"50023200260000","NORTH SLOPE BOROUGH","S BARROW NSB-06","71.2001040935769","-156.517073588072","I","",,"103"
"50023200270000","NORTH SLOPE BOROUGH","E BARROW 21","71.2388192919801","-156.31869374149","I","",,"104"
"50023200280000","NORTH SLOPE BOROUGH","WALAKPA 03","71.0648984577725","-156.959406016551","A","",,"105"
"50023200290000","NORTH SLOPE BOROUGH","WALAKPA 04","71.080454829207","-156.963648004137","A","",,"106"
"50029200740100","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT 02-02A","70.2692554059973","-148.475713810176","A","BP PLC","313807","107"
"50023200300000","NORTH SLOPE BOROUGH","WALAKPA 05","71.0792972309414","-156.912649210595","A","",,"108"
"50023200310000","NORTH SLOPE BOROUGH","WALAKPA 06","71.0621655293774","-156.874963724247","A","",,"109"
"50023200320000","NORTH SLOPE BOROUGH","WALAKPA 07","71.0757807445569","-157.044674524245","A","",,"110"
"50023200330000","NORTH SLOPE BOROUGH","WALAKPA 08","71.0613846927476","-157.045653372935","A","",,"111"
"50023200340000","NORTH SLOPE BOROUGH","WALAKPA 09","71.0619116209987","-157.003549280427","A","",,"112"
"50023200350000","NORTH SLOPE BOROUGH","WALAKPA 10","71.0760455731006","-157.001226598451","A","",,"113"
"50023200360000","CONOCOPHILLIPS ALASKA INC","INTREPID 2","71.0137100948215","-157.050593756082","I","CONOCOPHILLIPS","1163165","114"
"50023200370000","NORTH SLOPE BOROUGH","SAVIK 1","71.2427096811568","-156.330480076858","A","",,"115"
"50023200380000","NORTH SLOPE BOROUGH","WALAKPA 11","71.0722833921531","-156.892767882491","A","",,"116"
"50023200390000","NORTH SLOPE BOROUGH","SAVIK 2","71.2427424423539","-156.330548082299","A","",,"117"
"50023200400000","NORTH SLOPE BOROUGH","WALAKPA 12","71.0722833921531","-156.892650044633","A","",,"118"
"50023200410000","NORTH SLOPE BOROUGH","WALAKPA 13","71.0695971016364","-157.049920939119","A","",,"119"
"50025200010000","CHEVRON USA INC","KIC WELL 1","70.0734170752612","-143.026244461534","I","CHEVRONTEXACO CORP","93410","120"
"5.0029e+13","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY U FFGU PBUFFGU","70.3003245797291","-148.067586976327","A","BP PLC","313807","121"
"50029000000100","CONOCOPHILLIPS ALASKA INC","KUPARUK RIV U FFGU KRUFFGU","70.5167032666577","-149.677688498978","A","CONOCOPHILLIPS","1163165","122"
"50029000000200","BP EXPLORATION (ALASKA) INC","DUCK IS UNIT MPI END-NGL","70.3148174159922","-147.685434977537","A","BP PLC","313807","123"
"50029000000300","CONOCOPHILLIPS ALASKA INC","KUPARUK RIV U TABS TABAANGL","70.5167032666577","-149.677688498978","A","CONOCOPHILLIPS","1163165","124"
"50029000000400","CONOCOPHILLIPS ALASKA INC","KUPARUK RIV U TARN TRNAANGL","70.5167032666577","-149.677688498978","A","CONOCOPHILLIPS","1163165","125"
"50029000000600","BP EXPLORATION (ALASKA) INC","DUCK IS UNIT SDN SDN-NGL","70.3724605753475","-148.067877140253","A","BP PLC","313807","126"
"50029000000700","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UN CGF PBUCGFAA","70.3003382325476","-148.067587061568","A","BP PLC","313807","127"
"50029000000800","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UN CGF PBUCGFBP","70.3580360975702","-148.48994514763","A","BP PLC","313807","128"
"50029000000900","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UN LIS LIS-NGL","70.3436115961874","-148.067695920081","A","BP PLC","313807","129"
"50029000001000","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UN WBH WB-NGL","70.3725151858651","-148.364663675853","A","BP PLC","313807","130"
"50029000001100","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UN PTM NGL PM-NGL","70.4301451683616","-148.408342263382","A","BP PLC","313807","131"
"50029000001200","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UN NPB NPBAANGL","70.3868850297298","-148.407886503669","A","BP PLC","313807","132"
"50029000001300","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UN NIA NKBP-NGL","70.3724605753475","-148.068039664129","A","BP PLC","313807","133"
"50029000001400","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UN NIA NKAA-NGL","70.3724605753475","-148.068039664129","A","BP PLC","313807","134"
"50029000001500","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UN MDS MDS-NGL","70.3436115961913","-148.661309879646","A","BP PLC","313807","135"
"50029000001600","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UN PTM NGL PMUN-NGL","70.4301588208698","-148.408342407378","A","BP PLC","313807","136"
"50029000001700","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UN RAV RAV-NGL","70.4301588209562","-147.939312318737","A","BP PLC","313807","137"
"50029000001800","CONOCOPHILLIPS ALASKA INC","KUPARUK RIV U WSAK KRUFFGU","70.5167032666577","-149.677688498978","A","CONOCOPHILLIPS","1163165","138"
"50029000002500","BP EXPLORATION (ALASKA) INC","NORTHSTAR UNIT NS-NGL","70.502280390772","-148.688135231496","A","BP PLC","313807","139"
"50029100010000","HUMBLE OIL AND REFINING","REINDEER ISLAND C-1","70.483787716825","-148.343405231632","I","",,"140"
"50029200010000","ARCO ALASKA INC","PRUDHOE BAY ST 1","70.3233822040886","-148.542247658822","I","BP PLC","313807","141"
"50029200020000","ARCO ALASKA INC","SAG RIV ST 1","70.2547269953692","-148.342453114462","I","BP PLC","313807","142"
"50029200039500","BP ALASKA INC","SAG DELTA 01XX","70.3364302680426","-148.133623080455","I","BP PLC","313807","143"
"50029200040000","ARCO ALASKA INC","DELTA ST 1","70.2361802595391","-148.031264341524","I","BP PLC","313807","144"
"50029200050000","ATLANTIC RICHFIELD CO","TOOLIK FED 1","70.0731740455425","-148.392901010857","I","",,"145"
"50029200060000","BP EXPLORATION (ALASKA) INC","PUT RIVER 1","70.2784591795263","-148.566324280086","I","BP PLC","313807","146"
"50029200070000","CHEVRON USA INC","SOCAL 31-25","70.1975918066198","-148.462939947029","I","CHEVRONTEXACO CORP","93410","147"
"50029200080000","MOBIL OIL CORP","KUPARUK ST 1","70.2895452870736","-149.114993824819","I","EXXON MOBIL CORP","34088","148"
"50029200740200","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT 02-02BXX","70.269255413415","-148.475713856008","I","BP PLC","313807","149"
"50029200090000","CONOCOPHILLIPS ALASKA INC","UGNU 1","70.3816205826752","-149.826029298904","I","CONOCOPHILLIPS","1163165","150"
"50029200100000","BP EXPLORATION (ALASKA) INC","PUT RIVER 33-11-13","70.2676115983458","-148.851771039709","I","BP PLC","313807","151"
"50029200110000","BP EXPLORATION (ALASKA) INC","SAG DELTA 31-11-16","70.2685072277608","-148.166787100127","I","BP PLC","313807","152"
"50029200120000","ATLANTIC RICHFIELD CO","LAKE ST 1","70.2072652892286","-148.214395935835","I","",,"153"
"50029200130000","ARCO ALASKA INC","N W EILEEN ST 1","70.3652792834788","-149.358751659571","I","BP PLC","313807","154"
"50029200140000","MOBIL OIL CORP","W KUPARUK ST 3-11-11","70.3351972784734","-149.306702015924","I","EXXON MOBIL CORP","34088","155"
"50029200150000","STANDARD ALASKA PRODUCTION CO","PUT RIVER 24-10-14","70.2019744264114","-148.466434637101","I","",,"156"
"50029200160000","HAMILTON BROTHERS","PT STORKERSEN 1","70.4027020206386","-148.696790337476","I","BHP BILLITON LTD","811809","157"
"50029200170000","ARCO ALASKA INC","PUT RIV ST 1","70.2362703690559","-148.67978380294","I","BP PLC","313807","158"
"50029200180000","MOBIL OIL CORP","HEMI ST 03-09-11","70.1668881515917","-149.304355759813","I","EXXON MOBIL CORP","34088","159"
"50029200190000","MOBIL OIL CORP","KADLER ST 15-09-16","70.1327932518824","-148.038640718934","I","EXXON MOBIL CORP","34088","160"
"50029200200000","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT J-01","70.3271667462745","-148.839400883162","I","BP PLC","313807","161"
"50029200200100","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT J-01A","70.3271667462745","-148.839400883162","I","BP PLC","313807","162"
"50029200200200","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT J-01B","70.3271667462745","-148.839400883162","A","BP PLC","313807","163"
"50029200210000","TEXACO INC","KAD RIV 1","70.0803899786896","-147.664941706459","I","CHEVRONTEXACO CORP","93410","164"
"50029200220000","ARCO ALASKA INC","KUP RIV ST 1","70.3797037559902","-148.851103395976","I","BP PLC","313807","165"
"50029200230000","BP ALASKA INC","PUT RIV J-02","70.3262656648021","-148.839395240466","I","BP PLC","313807","166"
"50029200230100","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT J-02A","70.3262656648021","-148.839395240466","I","BP PLC","313807","167"
"50029200230200","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT J-02B","70.3262656744772","-148.839395207404","A","BP PLC","313807","168"
"50029200249500","BP OIL","PUT RIV 23-10-14XX","70.2146925328409","-148.485087350282","I","BP PLC","313807","169"
"50029200250000","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT J-03","70.3268663857837","-148.839399002263","A","BP PLC","313807","170"
"50029200260000","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT J-04","70.3265660252929","-148.839397121365","A","BP PLC","313807","171"
"50029200270000","MOBIL OIL CORP","HURL ST 5-10-13","70.252403268054","-148.89680615671","I","EXXON MOBIL CORP","34088","172"
"50029200280000","CHEVRON USA INC","KAVEARAK PT 32-25","70.455321360125","-149.435572069847","I","CHEVRONTEXACO CORP","93410","173"
"50029200290000","CHEVRON USA INC","SIMPSON LAGOON 32-14","70.4827446757382","-149.732835054412","I","CHEVRONTEXACO CORP","93410","174"
"50029200290100","CHEVRON USA INC","SIMPSON LAGOON 32-14A","70.4827446757382","-149.732835054412","I","CHEVRONTEXACO CORP","93410","175"
"50029200300000","BP OIL","SAG DELTA 31-10-16","70.1820884408887","-148.158482965441","I","BP PLC","313807","176"
"50029200310000","SHELL OIL CO","LAKE 79 FED 1","70.0797428105774","-147.767092639826","I","ROYAL DUTCH SHELL",,"177"
"50029200320000","MOBIL OIL CORP","N KUPARUK ST 26-12-12","70.3646412478513","-149.029481378534","I","EXXON MOBIL CORP","34088","178"
"50029200330000","BP ALASKA INC","PUT RIV 13-10-14","70.2155936302417","-148.485089211614","A","BP PLC","313807","179"
"50029200340000","BP ALASKA INC","PUT RIV 14-10-14","70.2149928986412","-148.485087970726","A","BP PLC","313807","180"
"50029200350000","SOHIO ALASKA PETROLEUM CO","PRUDHOE BAY UNIT TR PR 19-10-15","70.2117571345862","-148.412594247438","I","BP PLC","313807","181"
"50029200360000","BP ALASKA INC","PUT RIV 01-10-14","70.2411526662786","-148.495353761626","A","BP PLC","313807","182"
"50029200370000","BP ALASKA INC","PUT RIV 02-10-14","70.2411526662786","-148.496242008621","A","BP PLC","313807","183"
"50029200380000","BP ALASKA INC","PUT RIV 11-10-14","70.2411526662786","-148.497130255616","A","BP PLC","313807","184"
"50029200390000","ARCO ALASKA INC","PUT RIV 12-10-14","70.2411526662786","-148.49434439004","I","BP PLC","313807","185"
"50029200400000","ARCO ALASKA INC","S E EILEEN ST 1","70.2649902439487","-149.018771839217","I","BP PLC","313807","186"
"50029200400100","ARCO ALASKA INC","S E EILEEN ST 2","70.2649902439487","-149.018771839217","I","BP PLC","313807","187"
"50029200410000","ATLANTIC RICHFIELD CO","TOOLIK FED 2","70.0720162426786","-149.206557608881","I","",,"188"
"50029200420000","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT M-01","70.3346702836684","-148.958455660787","A","BP PLC","313807","189"
"50029200430000","BP ALASKA INC","PUT RIV 17-10-15","70.2117571345863","-148.410820139631","A","BP PLC","313807","190"
"50029200440000","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT 01-01","70.2424633507683","-148.395526461851","I","BP PLC","313807","191"
"50029200450000","SOHIO ALASKA PETROLEUM CO","PRUDHOE BAY UNIT 18-10-15","70.2117571345862","-148.413481301342","I","BP PLC","313807","192"
"50029200469500","BP OIL","PUT RIV 20-10-15XX","70.2117571345863","-148.411707193534","I","BP PLC","313807","193"
"50029200470000","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT TR PR 33-12-13","70.3561984467596","-148.835618204592","I","BP PLC","313807","194"
"50029200480000","ATLANTIC RICHFIELD CO","BEECHEY PT ST 1","70.3762887677374","-149.136499941937","I","",,"195"
"50029200480100","ATLANTIC RICHFIELD CO","BEECHEY PT ST 2","70.3762887677374","-149.136499941937","I","",,"196"
"50029200490000","ARCO ALASKA INC","N PRUDHOE BAY ST 1","70.3766191609363","-148.524380013864","I","BP PLC","313807","197"
"50029200509500","HOME OIL CO","W HEMI ST 1XX","70.1579210676915","-149.595196602725","I","",,"198"
"50029200510000","ATLANTIC RICHFIELD CO","TOOLIK FED 3","70.0764262701188","-149.900779275808","I","",,"199"
"50029200520000","CONOCOPHILLIPS ALASKA INC","E UGNU 1","70.3992888797912","-149.671218003063","I","CONOCOPHILLIPS","1163165","200"
"50029200530000","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT 01-02","70.2421411403244","-148.395345435141","A","BP PLC","313807","201"
"50029200540000","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT D-01","70.2945494374931","-148.752248442174","I","BP PLC","313807","202"
"50029200540100","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT D-01A","70.2945494374931","-148.752248442174","A","BP PLC","313807","203"
"50029200550000","MOBIL OIL CORP","MIKKELSEN BAY ST 13-09-19","70.1351814480097","-147.197455376414","I","EXXON MOBIL CORP","34088","204"
"50029200560000","STANDARD ALASKA PRODUCTION CO","PRUDHOE BAY UNIT D-04","70.2954505235165","-148.752250317453","I","",,"205"
"50029200560100","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT D-04A","70.2954505235165","-148.752250317453","I","BP PLC","313807","206"
"50029200560200","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT D-04B","70.2954505396418","-148.75225028914","A","BP PLC","313807","207"
"50029200570000","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT D-03","70.2951501615087","-148.75224969236","I","BP PLC","313807","208"
"50029200570100","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT D-03A","70.2951501615087","-148.75224969236","A","BP PLC","313807","209"
"50029200580000","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT D-05","70.2957508855242","-148.752250942547","A","BP PLC","313807","210"
"50029200590000","BP EXPLORATION (ALASKA) INC","PRUDHOE BAY UNIT B-01","70.2685918756665","-148.673369578531","A","BP PLC","313807","211"
"50029200600000","CHEVRON USA INC","SOCAL 33-29E","70.3671060075343","-149.39601365234","I","CHEVRONTEXACO CORP","93410","212"
"50029200610000","MOBIL OIL CORP","KUPARUK ST 33-11-12","70.2660551691734","-149.094930215559","I","EXXON MOBIL CORP","34088","213"
